asset_id,label,source_line,name,width,height,category,bitplane_offset,bitplane_size,comments
sprite_pixel_data1,sprite_pixel_data1,1594,Flying Harrier left/green half,16,8,aircraft.harrier,0,64,Flying Harrier left/green half | FLYING HARRIER - GREEN
sprite_pixel_data2,sprite_pixel_data2,1603,Flying Harrier right/green half,16,8,aircraft.harrier,64,64,Flying Harrier right/green half
sprite_pixel_data4,sprite_pixel_data4,1636,Landing Harrier left half,16,8,aircraft.harrier,128,64,Landing Harrier left half
sprite_pixel_data3,sprite_pixel_data3,1645,Landing Harrier right half,16,8,aircraft.harrier,192,64,Landing Harrier right half
sprite_pixel_data5,sprite_pixel_data5,1658,Enemy plane flying left half,16,8,aircraft.enemy,256,64,Enemy plane flying left half
sprite_pixel_data6,sprite_pixel_data6,1667,Enemy plane flying right half,16,8,aircraft.enemy,320,64,Enemy plane flying right half
sprite_pixel_data7,sprite_pixel_data7,1678,Enemy plane broken left half,16,8,aircraft.enemy,384,64,Enemy plane broken left half
sprite_pixel_data8,sprite_pixel_data8,1688,Enemy plane broken right half,16,8,aircraft.enemy,448,64,Enemy plane broken right half
sprite_pixel_data10,sprite_pixel_data10,1710,Carrier body,16,8,ship.carrier,512,64,Carrier body
sprite_pixel_data11,sprite_pixel_data11,1721,Carrier back,16,8,ship.carrier,576,64,Carrier back
sprite_pixel_data12,sprite_pixel_data12,1732,Carrier front,16,8,ship.carrier,640,64,Carrier front
sprite_pixel_data13,sprite_pixel_data13,1743,Carrier top,16,16,ship.carrier,704,128,Carrier top
sprite_pixel_data14,sprite_pixel_data14,1763,Carrier top 2,16,16,ship.carrier,832,128,Carrier top 2
sprite_pixel_data15,sprite_pixel_data15,1783,Gunship left,16,16,aircraft.gunship,960,128,Gunship left
sprite_pixel_data16,sprite_pixel_data16,1803,Gunship right,16,16,aircraft.gunship,1088,128,Gunship right
sprite_pixel_data_wingmanflying1,sprite_pixel_data_wingmanflying1,1823,Wingman flying left half,16,8,aircraft.wingman,1216,64,Wingman flying left half
sprite_pixel_data_wingmanflying2,sprite_pixel_data_wingmanflying2,1832,Wingman flying right half,16,8,aircraft.wingman,1280,64,Wingman flying right half
sprite_pixel_data_wingmanlanded1,sprite_pixel_data_wingmanlanded1,1843,Wingman landed left half,16,8,aircraft.wingman,1344,64,Wingman landed left half
sprite_pixel_data_wingmanlanded2,sprite_pixel_data_wingmanlanded2,1852,Wingman landed right half,16,8,aircraft.wingman,1408,64,Wingman landed right half
sprite_pixel_data_parachute,sprite_pixel_data_parachute,1863,Parachute,16,8,pilot.parachute,1472,64,Parachute
