table_index,label,source_line,cpc_comment_id,name,category,raw_bytes_hex
0,spr1,1230,0,SKY,environment.sky,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,spr2,1233,1,LAND,environment.land,f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0
2,spr3,1236,2,BLACK,unknown,0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f
3,spr4,1239,3,SEA 1,environment.sea,ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
4,spr5,1242,4,SEA 2,environment.sea,aa dd ff ff ff ff ff ff ff ff ff ff ff ff ff ff
5,spr6,1245,5,SEA 3,environment.sea,77 99 ff ff ff ff ff ff ff ff ff ff ff ff ff ff
6,spr7,1248,6,GAUGE EMPTY,unknown,33 55 ff ff ff ff ff ff ff ff ff ff ff ff ff ff
7,spr8,1251,7,GAUGE MARKER,unknown,0f 0f e1 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 e1 f0
8,spr9,1254,8,HARRIER REAR LANDED,aircraft.harrier,0f 0f e1 f0 f0 f0 e1 f0 c3 78 e1 f0 f0 f0 e1 f0
9,spr10,1257,9,HARRIER FRONT LANDED,aircraft.harrier,00 00 00 00 04 00 06 00 07 0f 01 0f 02 04 00 08
10,spr11,1260,10,FRIGATE BACK,ship.friendly_frigate,00 00 00 00 00 00 03 08 0f 0e 0d 00 01 00 01 00
11,spr12,1263,11,FRIGATE FRONT,ship.friendly_frigate,00 00 07 0f 07 0f 03 0f 03 0f 01 0f 01 0f 00 0f
12,spr13,1266,12,FRIGATE DECK 1,ship.friendly_frigate,0f 0f 0f 0f 0f 0e 0f 0c 0f 08 0f 00 0e 00 0c 00
13,spr14,1269,13,FRIGATE DECK 2,ship.friendly_frigate,00 00 00 00 00 0f 00 0f 00 0f 0f 0f 0e 0f 0f 0f
14,spr15,1272,14,FRIGATE DECK 3,ship.friendly_frigate,03 0f 03 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f
15,spr16,1275,15,FRIGATE DECK 4,ship.friendly_frigate,0d 00 0f 00 0f 00 0f 00 0f 00 0f 0f 0f 0d 0f 0f
16,spr17,1278,16,FRIGATE DECK 5,ship.friendly_frigate,00 04 00 04 00 04 02 04 01 04 03 0f 03 0f 03 0f
17,spr18,1281,17,FRIGATE DECK 6,ship.friendly_frigate,00 00 00 00 02 00 04 00 02 00 0f 00 0d 00 0f 00
18,spr19,1284,18,FRIGATE DECK 7,ship.friendly_frigate,00 00 00 00 00 00 00 01 00 01 00 01 00 01 00 03
19,spr20,1287,19,ENEMY SHIP FRONT,ship.enemy,00 00 00 00 00 00 00 00 00 00 04 00 04 00 0e 00
20,spr21,1290,20,ENEMY SHIP MID 1,ship.enemy,00 00 01 00 00 08 00 05 00 03 0f 0f 07 0f 03 0f
21,spr22,1293,21,ENEMY SHIP MID 2,ship.enemy,00 02 00 03 01 0f 09 07 09 0f 0f 0f 0f 0f 0f 0f
22,spr23,1296,22,ENEMY SHIP MID 3,ship.enemy,0e 00 0e 00 0e 00 0f 0c 0f 0c 0f 0f 0f 0f 0f 0f
